City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
lebu,20,ET,1551193200,33,8.96,38.73,73.4,20.8
bluff,0,AU,1551199022,70,-23.58,149.07,69.31,9.08
enshi,92,CN,1551198866,97,30.29,109.48,39.39,2.82
faanui,36,PF,1551198915,100,-16.48,-151.75,81.96,4.79
vostok,0,RU,1551199023,59,46.45,135.83,4.06,3.56
vardo,1,US,1551199022,25,39.62,-77.74,48.99,10.29
saskylakh,0,RU,1551199023,0,71.97,114.09,-28.25,5.23
georgetown,75,GY,1551196800,62,6.8,-58.16,86.0,16.11
saint george,20,GR,1551198000,57,39.45,22.34,53.6,4.7
kutum,100,SD,1551198885,35,14.2,24.66,82.9,3.89
yellowknife,75,CA,1551198880,78,62.45,-114.38,12.2,8.05
busselton,36,AU,1551198956,46,-33.64,115.35,70.0,18.54
kapaa,20,US,1551198642,63,22.08,-159.32,69.8,6.93
shimoda,20,JP,1551198911,41,34.7,138.93,48.99,3.0
klaksvik,12,FO,1551198000,81,62.23,-6.59,46.4,12.75
umm lajj,64,SA,1551199025,96,25.02,37.27,71.52,6.58
general roca,0,AR,1551193200,24,-39.03,-67.58,71.6,5.82
oktyabrskoye,0,RU,1551198919,73,56.73,85.44,21.99,6.71
amot,0,NO,1551198625,80,59.57,7.99,39.2,2.71
sabang,8,PH,1551199026,93,13.72,123.58,72.55,10.42
sitka,80,US,1551199026,66,37.17,-99.65,28.36,11.27
albany,20,US,1551198725,41,42.65,-73.75,26.01,24.16
angoche,0,MZ,1551198930,100,-16.23,39.91,82.59,7.02
maniitsoq,0,GL,1551199027,76,65.42,-52.9,17.38,4.05
san rafael,0,AR,1551199027,30,-34.61,-68.33,74.71,8.03
meulaboh,32,ID,1551199028,100,4.14,96.13,81.01,0.58
lapeer,90,US,1551199011,57,43.05,-83.32,19.99,5.82
north bend,1,US,1551198922,100,43.41,-124.22,37.0,4.7
hermanus,12,ZA,1551198649,67,-34.42,19.24,68.0,4.0
imbituba,75,BR,1551196800,73,-28.24,-48.67,77.0,12.75
punta arenas,20,CL,1551198915,41,-53.16,-70.91,57.2,18.34
castro,20,CL,1551196800,59,-42.48,-73.76,62.6,18.34
yeroham,48,IL,1551199029,62,30.99,34.93,52.0,8.93
helsingborg,0,SE,1551199025,93,56.05,12.69,52.0,2.24
madang,64,PG,1551199029,100,-5.21,145.81,74.98,3.78
avarua,0,CK,1551198600,94,-21.21,-159.78,69.8,2.24
new norfolk,0,AU,1551198976,81,-42.78,147.06,48.2,9.17
awjilah,20,LY,1551199030,48,29.14,21.3,58.96,11.16
mataura,92,NZ,1551198608,69,-46.19,168.86,60.01,7.0
port elizabeth,1,US,1551199024,37,39.31,-74.98,43.0,10.29
upernavik,32,GL,1551199030,100,72.79,-56.15,-0.98,12.62
puerto del rosario,0,ES,1551196800,60,28.5,-13.86,71.6,12.75
sibut,8,CF,1551199030,75,5.73,19.09,80.2,3.49
panguna,0,PG,1551199030,84,-6.32,155.48,73.86,1.81
norman wells,75,CA,1551196800,92,65.28,-126.83,10.4,3.36
jamestown,0,AU,1551198853,61,-33.21,138.6,62.2,6.51
hilo,1,US,1551198857,72,19.71,-155.08,62.6,6.93
upata,0,VE,1551199031,33,8.02,-62.41,91.99,9.6
hithadhoo,92,MV,1551199031,100,-0.6,73.08,80.38,10.94
sambava,12,MG,1551199031,100,-14.27,50.17,82.41,16.91
virginia beach,20,US,1551198944,45,36.85,-75.98,55.99,9.17
cockburn town,88,TC,1551199032,100,21.46,-71.14,76.96,21.05
chimbote,24,PE,1551199032,83,-9.08,-78.59,77.77,5.84
rikitea,92,PF,1551199032,98,-23.12,-134.97,80.29,14.79
codrington,64,AU,1551198666,82,-28.95,153.24,66.2,2.48
butaritari,44,KI,1551198878,100,3.07,172.79,83.89,18.03
ushuaia,75,AR,1551196800,87,-54.81,-68.31,44.6,34.45
bambous virieux,75,MU,1551198842,79,-20.34,57.76,84.2,17.22
kodiak,90,US,1551199025,37,39.95,-94.76,30.0,9.17
cape town,20,ZA,1551198967,52,-33.93,18.42,69.8,12.75
puerto ayora,40,EC,1551196800,66,-0.74,-90.35,87.8,5.82
bredasdorp,8,ZA,1551198649,43,-34.53,20.04,71.6,16.11
bukachacha,24,RU,1551199033,66,52.99,116.91,8.38,2.33
sosua,40,DO,1551198604,74,19.77,-70.52,81.0,11.41
vao,32,EE,1551199000,90,59.1,26.19,31.96,6.13
calvinia,20,ZA,1551199033,54,-31.47,19.78,67.6,11.54
vaini,0,IN,1551199034,67,15.34,74.49,61.26,2.37
broome,0,GB,1551198975,48,52.47,1.45,64.4,4.7
abbeville,0,FR,1551197948,45,50.11,1.83,64.4,6.93
arawa,75,NG,1551196800,88,7.05,3.9,73.4,11.41
mahebourg,75,MU,1551198842,79,-20.41,57.7,84.2,17.22
kungurtug,12,RU,1551198945,54,50.6,97.53,-9.89,3.04
gunnedah,8,AU,1551196800,60,-30.98,150.25,68.0,8.05
mantua,0,IT,1551198892,42,45.16,10.79,66.99,4.7
turukhansk,76,RU,1551199035,82,65.8,87.96,15.67,22.39
vestmanna,12,FO,1551198000,81,62.16,-7.17,46.4,12.75
ulladulla,75,AU,1551198630,82,-35.36,150.48,68.0,11.41
hobart,0,AU,1551198976,81,-42.88,147.33,48.2,9.17
acari,56,BR,1551199035,83,-6.44,-36.64,80.92,7.02
fortuna,0,ES,1551198986,22,38.18,-1.13,69.01,6.93
mount gambier,0,AU,1551193200,87,-37.83,140.78,53.6,10.29
karasjok,90,NO,1551198000,88,69.47,25.52,32.0,32.21
pampas,88,PE,1551199036,100,-12.4,-74.87,48.12,2.21
deputatskiy,0,RU,1551198962,0,69.3,139.9,-44.59,2.55
port alfred,76,ZA,1551198701,82,-33.59,26.89,68.0,10.0
saint-philippe,40,CA,1551198908,50,45.36,-73.48,10.99,19.46
severo-kurilsk,56,RU,1551199037,100,50.68,156.12,20.98,15.64
qaanaaq,48,GL,1551198865,77,77.48,-69.36,-8.36,4.05
villa carlos paz,75,AR,1551198968,56,-31.42,-64.5,73.0,5.82
namibe,40,AO,1551196800,69,-15.19,12.15,82.4,13.87
hanna,0,CA,1551198544,77,51.64,-111.93,-21.0,5.35
stromness,75,CA,1551199022,67,42.87,-79.55,23.0,8.05
yima,44,CN,1551198959,81,34.75,111.87,30.57,3.33
gamba,20,CN,1551199037,35,28.28,88.52,-14.3,2.89
kavieng,64,PG,1551199038,100,-2.57,150.8,81.06,8.63
bethel,90,US,1551196560,80,60.79,-161.76,35.6,6.93
hofn,76,IS,1551199038,93,64.25,-15.21,42.36,40.96
merrill,90,US,1551199024,92,42.03,-121.6,30.0,5.82
torbay,90,CA,1551198799,79,47.66,-52.73,28.0,24.16
guatire,40,VE,1551198917,74,10.47,-66.54,78.8,4.7
port hardy,5,CA,1551196800,50,50.7,-127.42,30.2,5.82
touros,75,BR,1551196800,70,-5.2,-35.46,86.0,10.29
barrow,36,AR,1551199039,67,-38.31,-60.23,61.93,16.31
vaitape,0,PF,1551199039,100,-16.52,-151.75,82.32,6.02
khatanga,80,RU,1551198889,55,71.98,102.47,-1.25,8.3
kaitangata,64,NZ,1551198971,65,-46.28,169.85,55.32,7.36
xiazhen,40,TW,1551198963,87,23.89,120.95,66.0,1.12
eyl,0,SO,1551199040,97,7.98,49.82,75.57,13.78
nanortalik,0,GL,1551198925,100,60.14,-45.24,33.31,4.79
mar del plata,76,AR,1551199040,35,-46.43,-67.52,73.27,16.98
husavik,24,CA,1551198874,77,50.56,-96.99,-8.0,7.0
tucurui,92,BR,1551199040,89,-3.77,-49.67,78.58,2.89
cherskiy,64,RU,1551198896,79,68.75,161.3,-4.85,3.38
gimli,24,CA,1551198874,77,50.63,-96.99,-8.0,7.0
dikson,36,RU,1551199040,82,73.51,80.55,-5.89,36.22
atuona,8,PF,1551198878,100,-9.8,-139.03,79.93,6.4
pemba,75,MZ,1551196800,88,-12.97,40.52,84.0,8.05
lahti,0,FI,1551198856,64,60.98,25.66,35.6,3.36
maniwaki,44,CA,1551199041,39,46.38,-75.98,6.54,9.86
skogn,75,NO,1551198917,70,63.7,11.19,45.0,3.36
dhidhdhoo,8,MV,1551199041,100,6.88,73.1,82.32,8.3
sinnamary,88,GF,1551199040,95,5.38,-52.96,79.3,13.18
sokoni,12,CD,1551199041,59,-12.89,28.78,74.35,3.38
pevek,64,RU,1551199042,69,69.7,170.27,-1.84,1.59
gat,0,SN,1551196800,7,14.69,-16.54,89.6,12.75
komsomolskiy,0,RU,1551199042,51,67.55,63.78,-9.98,5.57
the valley,40,AI,1551198641,65,18.22,-63.06,80.01,21.92
les cayes,0,HT,1551199042,90,18.19,-73.75,81.46,13.29
esperance,40,TT,1551198673,51,10.24,-61.45,87.01,17.22
sweetwater,1,US,1551198998,67,32.47,-100.41,63.0,21.92
san cristobal,40,EC,1551198709,52,-0.39,-78.55,68.0,4.7
bose,0,IT,1551198976,67,45.46,8.01,66.2,5.82
thompson,40,CA,1551196800,70,55.74,-97.86,-4.01,12.75
arraial do cabo,20,BR,1551196800,62,-22.97,-42.02,87.8,9.17
college,1,US,1551198935,76,64.86,-147.8,-6.0,3.0
punta alta,75,AR,1551196800,57,-27.46,-55.82,78.8,8.05
souillac,0,FR,1551197781,32,45.6,-0.6,71.6,5.82
taoudenni,0,ML,1551199044,19,22.68,-3.98,66.12,12.88
gizo,0,IL,1551199029,54,31.8,34.94,60.8,8.05
nuuk,5,GL,1551196200,47,64.17,-51.74,35.6,3.36
port-gentil,40,GA,1551196800,100,-0.72,8.78,77.0,2.24
constitucion,5,MX,1551198615,29,23.99,-104.67,64.99,3.36
lagoa,0,PT,1551199028,67,37.14,-8.45,66.99,13.87
derzhavinsk,64,KZ,1551199046,68,51.1,66.31,9.28,6.91
flinders,75,AU,1551199024,82,-34.58,150.85,70.0,11.41
biskamzha,8,RU,1551199046,71,53.45,89.53,10.59,2.1
carnarvon,20,ZA,1551199046,27,-30.97,22.13,69.76,15.12
champerico,5,MX,1551195600,61,16.38,-93.6,77.0,2.24
padang,40,ID,1551193200,94,-0.92,100.36,80.6,4.7
provideniya,24,RU,1551198885,82,64.42,-173.23,29.22,24.36
lompoc,20,US,1551198856,93,34.64,-120.46,51.01,4.7
san policarpo,88,PH,1551199047,99,12.18,125.51,72.37,9.86
opuwo,80,NA,1551199047,36,-18.06,13.84,80.79,4.83
nizhniy ingash,36,RU,1551199047,71,56.2,96.53,10.41,3.71
akureyri,90,IS,1551196800,56,65.68,-18.09,44.6,21.92
solnechnyy,0,RU,1551198894,63,50.72,136.64,15.31,8.25
burnie,56,AU,1551198851,82,-41.05,145.91,61.0,7.0
castlegar,0,CA,1551195792,80,49.32,-117.66,1.0,1.77
kerewan,0,GM,1551196800,16,13.49,-16.09,93.2,8.05
oranjemund,8,ZA,1551199048,89,-28.55,16.43,66.12,12.62
nikolskoye,75,RU,1551195000,69,59.7,30.79,37.4,8.95
gambela,0,ET,1551199048,44,8.25,34.59,71.2,1.81
batagay,24,RU,1551199048,0,67.65,134.64,-32.48,0.58
carauari,24,BR,1551199048,49,-4.88,-66.9,94.92,7.52
tadine,92,NC,1551199049,100,-21.55,167.88,77.59,28.1
livingston,90,US,1551196680,58,32.58,-88.19,59.0,3.36
marsa matruh,75,EG,1551196800,77,31.35,27.25,59.0,18.34
zyryanovsk,8,KZ,1551199049,67,49.74,84.27,6.04,2.1
espanola,8,CA,1551197881,57,46.27,-81.77,7.0,5.01
brenham,90,US,1551199030,100,30.17,-96.4,59.0,4.7
zhigalovo,88,RU,1551199049,65,54.81,105.15,6.85,2.21
tuatapere,92,NZ,1551198608,69,-46.13,167.69,60.01,7.0
hatillo,75,PR,1551198923,94,18.49,-66.83,84.0,23.04
east london,0,ZA,1551196800,68,-33.02,27.91,71.6,21.92
balikpapan,75,ID,1551196800,88,-1.24,116.86,82.4,11.41
aklavik,20,CA,1551196800,84,68.22,-135.01,6.8,4.7
pemberton,32,AU,1551198956,92,-34.44,116.03,66.0,1.99
saint augustine,40,TT,1551198673,51,10.65,-61.4,87.01,17.22
kruisfontein,32,ZA,1551199051,81,-34.0,24.73,61.21,18.14
ribeira grande,40,PT,1551196800,54,38.52,-28.7,57.2,17.22
port blair,0,IN,1551199051,99,11.67,92.75,83.22,11.1
aksarka,0,RU,1551199051,69,66.56,67.8,-10.16,3.6
mvangue,76,CM,1551199051,89,2.97,11.5,74.44,2.26
ancud,20,CL,1551196800,59,-41.87,-73.83,62.6,18.34
los llanos de aridane,0,ES,1551198695,68,28.66,-17.92,71.6,5.82
zhezkazgan,68,KZ,1551198773,88,47.8,67.71,18.64,7.52
pangnirtung,40,CA,1551196860,57,66.15,-65.72,-9.41,2.24
kiunga,80,PG,1551198874,93,-6.12,141.3,73.9,2.1
tulun,8,RU,1551199052,70,54.56,100.58,8.07,2.55
aloleng,0,PH,1551199052,93,16.13,119.78,75.84,10.6
tasiilaq,90,GL,1551196200,92,65.61,-37.64,28.4,15.86
presidencia roque saenz pena,64,AR,1551199053,77,-26.79,-60.44,78.94,15.97
tocopilla,0,CL,1551199053,73,-22.09,-70.2,70.93,5.61
paamiut,12,GL,1551199053,100,61.99,-49.67,28.14,12.62
margate,0,AU,1551198916,81,-43.03,147.26,48.2,9.17
rio grande,20,BR,1551196800,53,-32.03,-52.1,77.0,6.93
dudinka,64,RU,1551199053,68,69.41,86.18,-5.66,10.42
kathu,0,ZA,1551198689,18,-27.7,23.05,87.01,1.01
tiksi,24,RU,1551198921,69,71.64,128.87,-16.15,2.77
oktyabrskiy,75,RU,1551198071,80,55.61,37.97,35.6,13.42
kedrovyy,0,RU,1551195000,72,56.17,91.82,17.6,6.71
marawi,0,PH,1551198619,79,8.0,124.29,70.0,5.99
tuktoyaktuk,20,CA,1551196800,84,69.44,-133.03,6.8,13.87
dingle,0,PH,1551199055,75,11.0,122.67,71.79,12.33
baoshan,40,CN,1551198904,87,31.41,121.49,46.99,6.71
ust-maya,48,RU,1551199055,76,60.42,134.54,-12.59,2.59
zhenlai,0,CN,1551198704,77,45.84,123.2,32.0,5.01
chokurdakh,20,RU,1551199055,0,70.62,147.9,-33.29,4.79
airai,20,TL,1551198904,91,-8.93,125.41,68.95,1.77
mmabatho,20,ZA,1551196800,16,-25.85,25.61,91.4,9.17
coquimbo,40,CL,1551196800,72,-29.95,-71.34,66.2,13.87
price,40,US,1551198844,68,39.6,-110.81,42.01,2.21
gushikawa,40,JP,1551198600,68,26.35,127.87,68.0,1.12
robertsganj,64,IN,1551199056,63,24.69,83.07,63.55,2.55
bonnyville,90,CA,1551196800,69,54.27,-110.74,-13.01,8.05
saint-augustin,0,FR,1551198620,37,44.83,-0.61,75.2,10.29
sao filipe,0,CV,1551199056,79,14.9,-24.5,75.39,18.37
cabo san lucas,5,MX,1551198687,68,22.89,-109.91,72.0,2.24
chicomuselo,0,MX,1551199057,38,15.77,-92.27,79.03,1.7
nemuro,12,JP,1551198818,100,43.32,145.57,28.09,20.89
karratha,0,AU,1551199057,80,-20.74,116.85,78.31,6.62
port macquarie,92,AU,1551198245,82,-31.43,152.91,64.4,3.38
chuy,48,UY,1551199057,72,-33.69,-53.46,69.81,17.09
nouadhibou,0,MR,1551196800,20,20.93,-17.03,82.4,16.11
nizhniy tsasuchey,0,RU,1551199057,72,50.52,115.13,14.46,7.36
coihaique,90,CL,1551196800,45,-45.58,-72.07,64.4,4.7
victoria,75,BN,1551196800,83,5.28,115.24,80.6,8.05
adrar,0,DZ,1551196800,22,27.87,-0.29,64.4,9.17
orlik,0,RU,1551199058,54,52.51,99.83,-9.8,2.82
ponta do sol,24,BR,1551199058,78,-20.63,-46.0,83.94,3.83
antsohihy,48,MG,1551199059,100,-14.88,47.99,72.28,1.03
prince rupert,1,CA,1551196800,39,54.32,-130.32,30.2,4.7
mwene-ditu,20,CD,1551199059,90,-7.01,23.45,73.36,5.61
mecca,0,SA,1551198841,68,21.43,39.83,76.51,4.38
ouesso,64,CG,1551199059,87,1.61,16.05,77.82,2.71
mount isa,20,AU,1551196800,73,-20.73,139.49,75.2,5.82
bonavista,68,CA,1551198696,79,48.65,-53.11,28.0,17.69
kavaratti,0,IN,1551199059,100,10.57,72.64,82.27,10.65
kununurra,0,AU,1551196800,83,-15.77,128.74,77.0,1.12
ahipara,0,NZ,1551198419,100,-35.17,173.16,57.0,5.84
leshukonskoye,0,RU,1551199060,75,64.9,45.76,7.48,2.77
sao joao da barra,20,BR,1551196800,55,-21.64,-41.05,91.4,9.17
fare,8,PF,1551199060,98,-16.7,-151.02,83.31,3.38
hambantota,40,LK,1551193800,100,6.12,81.12,77.0,3.36
saint anthony,90,US,1551198906,86,43.97,-111.68,37.0,13.87
campbell river,20,CA,1551198624,78,50.02,-125.24,30.2,3.36
tilichiki,88,RU,1551199061,85,60.47,166.1,19.09,13.56
xining,56,CN,1551199061,80,36.62,101.77,8.02,2.59
isla vista,40,US,1551198952,87,34.41,-119.86,53.01,1.81
zyryanka,68,RU,1551199061,30,65.73,150.89,-20.96,7.52
wanning,75,AT,1551199025,61,48.64,13.53,54.0,12.75
mikhaylovka,0,RU,1551199062,52,52.96,103.29,3.25,2.55
portadown,0,GB,1551198904,50,54.42,-6.44,55.4,9.17
sioux lookout,40,CA,1551196800,63,50.1,-91.92,-7.61,5.82
kearney,90,US,1551198955,77,40.7,-99.08,5.0,8.05
waitati,80,NZ,1551199062,79,-45.75,170.57,59.0,14.63
chapada dos guimaraes,75,BR,1551196800,70,-15.46,-55.75,84.2,11.41
leh,48,IN,1551199063,52,34.16,77.58,-15.02,0.76
geraldton,20,CA,1551196800,58,49.72,-86.95,-5.81,11.41
srednekolymsk,76,RU,1551199063,29,67.46,153.71,-20.29,4.72
